bin_left,bin_right,count
1.3032527022005524e-05,0.024957635002306234,109
0.024957635002306234,0.04990223747759046,36
0.04990223747759046,0.0748468399528747,52
0.0748468399528747,0.09979144242815892,66
0.09979144242815892,0.12473604490344314,71
0.12473604490344314,0.14968064737872738,80
0.14968064737872738,0.1746252498540116,84
0.1746252498540116,0.19956985232929583,76
0.19956985232929583,0.22451445480458007,69
0.22451445480458007,0.24945905727986428,66
0.24945905727986428,0.2744036597551485,52
0.2744036597551485,0.29934826223043276,39
0.29934826223043276,0.324292864705717,37
0.324292864705717,0.3492374671810012,27
0.3492374671810012,0.3741820696562854,27
0.3741820696562854,0.39912667213156966,29
0.39912667213156966,0.4240712746068539,23
0.4240712746068539,0.44901587708213814,15
0.44901587708213814,0.4739604795574223,25
0.4739604795574223,0.49890508203270656,19
0.49890508203270656,0.5238496845079909,21
0.5238496845079909,0.548794286983275,12
0.548794286983275,0.5737388894585592,13
0.5737388894585592,0.5986834919338435,19
0.5986834919338435,0.6236280944091277,22
0.6236280944091277,0.648572696884412,21
0.648572696884412,0.6735172993596962,21
0.6735172993596962,0.6984619018349804,22
0.6984619018349804,0.7234065043102647,18
0.7234065043102647,0.7483511067855488,17
0.7483511067855488,0.7732957092608331,29
0.7732957092608331,0.7982403117361173,20
0.7982403117361173,0.8231849142114015,31
0.8231849142114015,0.8481295166866858,16
0.8481295166866858,0.87307411916197,20
0.87307411916197,0.8980187216372543,22
0.8980187216372543,0.9229633241125385,24
0.9229633241125385,0.9479079265878226,26
0.9479079265878226,0.9728525290631069,28
0.9728525290631069,0.9977971315383911,40
