bin_left_hz,bin_right_hz,count
20.089285714285715,32.058270676691734,241
32.058270676691734,44.027255639097746,72
44.027255639097746,55.996240601503764,225
55.996240601503764,67.96522556390978,164
67.96522556390978,79.93421052631581,102
79.93421052631581,91.90319548872182,49
91.90319548872182,103.87218045112783,232
103.87218045112783,115.84116541353384,81
115.84116541353384,127.81015037593986,27
127.81015037593986,139.7791353383459,31
139.7791353383459,151.7481203007519,33
151.7481203007519,163.71710526315792,19
163.71710526315792,175.68609022556393,5
175.68609022556393,187.65507518796997,22
187.65507518796997,199.62406015037598,4
199.62406015037598,211.593045112782,12
211.593045112782,223.562030075188,7
223.562030075188,235.53101503759402,9
235.53101503759402,247.50000000000006,3
247.50000000000006,259.46898496240607,10
259.46898496240607,271.4379699248121,11
271.4379699248121,283.4069548872181,5
283.4069548872181,295.3759398496241,1
295.3759398496241,307.3449248120301,6
307.3449248120301,319.3139097744361,6
319.3139097744361,331.28289473684214,6
331.28289473684214,343.2518796992482,3
343.2518796992482,355.2208646616542,5
355.2208646616542,367.18984962406023,3
367.18984962406023,379.15883458646624,6
379.15883458646624,391.12781954887225,2
391.12781954887225,403.09680451127826,0
403.09680451127826,415.0657894736843,3
415.0657894736843,427.0347744360903,2
427.0347744360903,439.0037593984963,3
439.0037593984963,450.9727443609023,4
450.9727443609023,462.9417293233083,3
462.9417293233083,474.9107142857144,9
474.9107142857144,486.8796992481204,8
486.8796992481204,498.8486842105264,10
