filename,snore_index,dominant_frequency,mean_rms_energy
masirez-snoring-sound-effect-deep-sleep-breathing-304270.mp3,0.8893746997269043,135.4066985645933,0.014418615
freesound_community-soft-female-snoring-17325.mp3,0.8132860716569791,111.24122908474054,0.011583191
freesound_community-snoring2-62592.mp3,0.7092925430199368,179.8002219755827,0.03483586
mollyroselee-a-person-snoring-468533.mp3,0.6780785032897567,136.06965174129354,0.088464096
magiaz-snoring-389955.mp3,0.6412906420087264,182.76209677419357,0.036044262
freesound_community-snorking05-34816.mp3,0.625435908188264,87.03385672227674,0.008217929
freesound_community-snoring-74587.mp3,0.6179566935119833,102.38894215404282,0.0023949158
freesound_community-snoring-6773.mp3,0.6023271369638933,120.0310228918384,0.038123354
freesound_community-snore-69841.mp3,0.565264032880374,82.25128591142892,0.0076162345
freesound_community-snoring-long-78149.mp3,0.5483022627798189,136.5819209039548,0.0021505724
freesound_community-023789_man-snoring-74637.mp3,0.4545652547437398,266.0008591065292,0.009460012
freesound_community-snoring-50041.mp3,0.38298557268436395,5.860594044865441,0.056269173
geriart-snoring-8486.mp3,0.3596456484346844,83.5308056872038,0.0037641313
freesound_community-snoring-67961.mp3,0.31985626912481635,101.2979683972912,0.020240998
nusretalbayrak-snoring-331163.mp3,0.27004529954331574,75.85358796296296,0.0067322003
freesound_community-snoring-sound-effect-55854.mp3,0.24840581942706447,63.9785694405789,0.008730996
freesound_community-male-snore-1-29322.mp3,0.20144680951736083,63.72010736944851,0.015526498
freesound_community-male-snore-1-29322 (1).mp3,0.20144680951736083,63.72010736944851,0.015526498
freesound_community-male-snore-63981.mp3,0.18667990263664605,36.84922244759973,0.039726913
audiopapkin-male-snoring-297875.mp3,0.1859506840145986,67.85893278301887,0.08910141
freesound_community-snoring-during-a-sleep-67171.mp3,0.159507245101674,510.4023515040465,0.007076938
u_23l344d16t-snoring-single-343603.mp3,0.10624166670182318,31.03314568014706,0.010646945
freesound_community-snoring-71560.mp3,0.10618669480313378,62.03959484346225,0.010673265
freesound_community-snoring-61155.mp3,0.07750020878233334,8.0498177399757,0.014833598
freesound_community-snoring-42710.mp3,0.07247433071715852,68.81720430107528,0.0056084134
freesound_community-young-woman-snoring-60923.mp3,0.0673469608675339,774.2537313432836,0.0043343627
freesound_community-big-snore-78224.mp3,0.023766322606485854,738.5408190941145,0.0077522136
freesound_community-031991_man-snoring-69800.mp3,0.020601946323154742,3653.0618241654915,0.024561707
freesound_community-man-snoring-30944.mp3,0.010657344185770785,1774.2172787193972,0.0016706389
